userName,at,content,score,thumbsUpCount
Hussien Sayd,2024-04-20T03:06:24,يغلق البرنامج بشكل تلقائي عند الضغط على diary واضطر لمتابعة السعرات من خلال الموقع. ولكن التطبيق أسرع وأسهل. فى حالة نسيان الباسورد احيانا لا يصل البريد الإلكتروني أو يكون هناك خلل ف عملية تسجيل الدخول,5,156
Sa6am alharbi,2022-11-23T20:14:21,تطبيق أسطوري لكن يحتاج لتحديث للبيانات لأن الغالب انها قديمة وبتحتاج في كل مره تضيف وجبة انك تعدل على بيانات الوجبة اللي موجودة بالتطبيق وبأستطاعتك تعدل وتحفظها في خانت وجباتك المفضلة طبعاً عرفت بعد التخبيص بشكل كبير ،،,5,48
مستخدم Google,2020-01-15T14:51:00,تطبيق مفيد جدا ورائع… لقد غير حياتي للأفضل للذين يقولون انهم لا يستطيعون الدخول بالبريد الإلكتروني ف على الاغلب التطبيق لا يقبل الناس تحت عمر ال١٨… وللذين يقولون ان البرنامج لا يدعم اللغة العربية…يستطيعون ان يستعملوا اي تطبيق معجم للترجمة…,5,141
Daniah Aladhami,2023-08-07T10:16:53,التطبيق ممتاز جدا وانا استخدمه منذ عدة سنوات لكن هذه الفترة لا يقبل ادخال الاكل ولم اعرف ماهي المشكلة مسحت التطبيق واعدت تنزيله مرة اخرى ولا زالت المشكلة موجودة عندما اقوم بادخال الاكل يتم مسحه مباشرة اتمنى ان تقوموا بحل هذه المشكلة,5,74
Life ٠٠,2022-07-03T08:57:58,أجمل تطبيق الي اقدر احسب فيه الماكروز بدقة وله مميزات كثيرة الي عنده مشكلة ايقاف التطبيق كل ما دخل احذفه وارجع تنزيله وادخل بنفس الإيميل يشتغل معاك بدون ماتنحذف بياناتك,5,43
مستخدم Google,2019-04-15T10:31:47,برنامج اكثر من رائع بسيط وسهل ويمكن ربطة بسهولة بتطبيق Samsung Health وتسجيل القراءات من الساعة الذكية يتميز التطبيق بانه يدعم اللغة العربية في إدخال الوجبات وسوف تجد جميع الاكلات الشعبية فقط سجل الكمية وتابع الماكرو .. استخدمت التطبيق المجاني لمدة شهر وسوف اشترك في المدفوع لمدة سنة برنامج نزلت بفضل الله اولا ثم متابعة التطبيق ٤ كيلو ..التطبيق يستاهل وزنه ذهب شكرا لكم,5,286
شام سلفية الهوى,2022-08-17T11:54:38,اللي ما عم يقدر يشغل التطبيق يجرب يدخل الموقع على جوجل نفس الاسم ويدخل اذا اشتغل معناها المشكلة بالجوال ، الجوال إصداره قديم أنا بجوالي القديم بطل يشتغل وجربت كتير من غير فائدة لما غيرت الجوال اشتغل,5,43
محمد وائل,2024-04-18T22:47:38,هناك مشكله فى التطبيق فى Android يقوم البرنامج بالاغلاق بدون سبب عندما اقوم بالدخول على Diary ولكن على iPhone يعمل بشكل جيد وهذا بنفس البريد الإلكتروني !!! مع الأسف سوف أقوم بإزالة التطبيق ///تعديل تم حل المشكله بحذف الحساب نهائيا وإعاده التسجيل بنفس البريد الإلكتروني,5,50
SHAYKHAH,2023-12-01T10:56:11,البرنامج مفيد جداً اذا اشتركة في البرنامج بتلقى ميزات افضل بس عن نفسي مكتفيه بنسخه المجانيه و اشوفه حيل مفيد و يفك ازمه,5,33
Ra E,2020-05-20T02:53:03,البرنامج جدا مفيد وخدمني كثيرا ، لكن اواجه مشكله لا استطيع الرفع او شراء ال premium جهازي note 10 lite اتمنى ان اجد الحل ؟ وشكرا لكم,5,45
amazing* girl,2023-09-09T02:06:51,اول مرة اقيم حاجة بممتاز وخمس نجوم، البرنامج حلو واحلي ميزة انه في امكانية، قراءة الباركود ومعرفه المنتج والكالوريز اللي فيه وكمان فية معظم الاكلات اللي في الحياه بانواعها مع تحديد الكمية، وهو مش بس للتخسيس كمان للنحافة وللحفاظ علي الصحة انت بتختار برنامجك ونظامك، سواء خسارة او زيادة وزن او غيره بس العيب هو انه لو انت مش بتعرف English خاالص فبلاش تحمله لانك هتتعب اوي ممكن، تبحث عن حاجة بالعربي يارب اكون فيدتكم انصح بتحميله 😉👍,5,0
